Name,Kind,Slot,HitKind,MultPve,MultPvp,Notes
Aged One's Exultation,Talisman,Passive,All,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when madness is triggered within 7m
Aged One's Exultation,Talisman,Passive,Skill,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when madness is triggered within 7m
Aged One's Exultation,Talisman,Passive,ChargedSkill,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when madness is triggered within 7m
Aged One's Exultation,Talisman,Passive,Crit,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when madness is triggered within 7m
Aged One's Exultation,Talisman,Passive,Jump,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when madness is triggered within 7m
Aged One's Exultation,Talisman,Passive,ChargedR2,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when madness is triggered within 7m
Aged One's Exultation,Talisman,Passive,Successive,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when madness is triggered within 7m
Aged One's Exultation,Talisman,Passive,Physical,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when madness is triggered within 7m
Aged One's Exultation,Talisman,Passive,Dashing,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when madness is triggered within 7m
Aged One's Exultation,Talisman,Passive,FinalLight,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when madness is triggered within 7m
Aged One's Exultation,Talisman,Passive,GuardCounter,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when madness is triggered within 7m
Aged One's Exultation,Talisman,Passive,Horseback,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when madness is triggered within 7m
Aged One's Exultation,Talisman,Passive,KickStomp,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when madness is triggered within 7m
Aged One's Exultation,Talisman,Passive,Magma,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when madness is triggered within 7m
Aged One's Exultation,Talisman,Passive,Perfume,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when madness is triggered within 7m
Aged One's Exultation,Talisman,Passive,Pot,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when madness is triggered within 7m
