Skill,DefaultAffinity,AllowedAny,Location,Url
Dryleaf Whirlwind,Standard,0.0,"Found on the edge, besides a column and near a waterfall. See Shadow of the Erdtree Map",https://eldenring.wiki.fextralife.com/Ash_of_War:_Dryleaf_Whirlwind
Aspects of the Crucible: Wings,Sacred,0.0,Fort of Reprimand : Black Knight Edreed drops this Ash of War upon defeat. See Shadow of the Erdtree Map,https://eldenring.wiki.fextralife.com/Ash_of_War:_Aspects_of_the_Crucible:_Wings
Spinning Gravity Thrust,Heavy,1.0,"Comes equipped to the Sword lance, one of the possible rewards when trading Remembrance of the Wild Boar Rider with Enia at the Roundtable Hold.",https://eldenring.wiki.fextralife.com/Ash_of_War_Spinning_Gravity_Thrust
Palm Blast,Standard,0.0,"Found at the Moorth Ruins Site of Grace by using the ""May The Best Win"" emote in front of the Dryleaf Dane Monk, you will then begin a battle and winning will grant you the Ash of War as well as the weapon. See Shadow of the Erdtree Map",https://eldenring.wiki.fextralife.com/Ash_of_War:_Palm_Blast
Piercing Throw,Keen,0.0,"South of the Messmer soldier encampment, east of Giant Crayfish, there is a small group of Misbegotten on a crumbled column. Between them there is a scarab. Defeat it to obtain this Ash of War. See Shadow of the Erdtree Map",https://eldenring.wiki.fextralife.com/Ash_of_War:_Piercing_Throw
Scattershot Throw,Keen,0.0,"Can be found by killing a scarab. Just south of Taylew's Ruined Forge entrance, near a bridge. It's hanging high on a pillar with some mobs underneath it. See Shadow of the Erdtree Map",https://eldenring.wiki.fextralife.com/Ash_of_War:_Scattershot_Throw
Wall of Sparks,Standard,0.0,"Shadow Keep : Take the left lift down from the Storehouse, first-floor site of grace. take the first exit to the right, and then the first one to the left. You will find this item on a corpse sitting on the rails. See Shadow of the Erdtree Map",https://eldenring.wiki.fextralife.com/Ash_of_War:_Wall_of_Sparks
Rolling Sparks,Standard,0.0,"The location is in the camp to the southeast of Shadow Keep . There are three perfumers, and the scarab is flying in the air in the direction of the main camp. It's high in the air and tough to see if you don't look up. See Shadow of the Erdtree Map",https://eldenring.wiki.fextralife.com/Ash_of_War:_Rolling_Sparks
Raging Beast,Keen,0.0,"From the Bridge Leading to the Village Grace follow the path heading North. Once you get to the trees, keep looking east for a teleporting Teardrop Scarab that will have the Ash of War. See Shadow of the Erdtree Map",https://eldenring.wiki.fextralife.com/Ash_of_War:_Raging_Beast
Savage Claws,Keen,0.0,"Found on the Beast Claw (Weapon) . Drops from killing Logur the Beast Claw in Gravesite Plains in the forest, southeast of the Gravesite Plain Site of Grace. See Shadow of the Erdtree Map",https://eldenring.wiki.fextralife.com/Ash_of_War:_Savage_Claws
Blind Spot,Keen,0.0,"Comes equipped to the Backhand blades found besides a coffin, in the Inquisitor enemies area of Gravesite Plain, not far from the first site of grace.",https://eldenring.wiki.fextralife.com/Ash_of_War:_Blind_Spot
Swift Slash,Keen,1.0,Reward for siding with Hornsent during his fight with Leda at Shadowkeep. [ Video Location ],https://eldenring.wiki.fextralife.com/Ash_of_War:_Swift_Slash
Overhead Stance,Keen,0.0,"Comes equipped to the Great katana found next to the sleeping Ghostflame Dragon on the lake, west of the Abandoned Ailing Village site of grace.",https://eldenring.wiki.fextralife.com/Ash_of_War:_Overhead_Stance
Wing Stance,Quality,0.0,"Inside a chest in the tower that you can reach by jumping over the edge just outside Castle Lord's Chamber Site of Grace, and following the cliffside down to the tower before climbing up two ladders to reach it. See Shadow of the Erdtree Map",https://eldenring.wiki.fextralife.com/Ash_of_War:_Wing_Stance
Blinkbolt,Lightning,0.0,"Found in a chest within the Fog Rift Catacombs . The room of the third spike dropper with a sorcerer sniping from the back, stand where the sorcerer you defeated was and bait the spike trap down to jump into a notch. Ride the notch up to a room with a chest that holds the ash of war. See Shadow of the Erdtree Map",https://eldenring.wiki.fextralife.com/Ash_of_War:_Blinkbolt
Flame Skewer,Flame Art,0.0,Acquired as a drop upon defeating the NPC Invader Fire Knight Queelign. See Shadow of the Erdtree Map,https://eldenring.wiki.fextralife.com/Ash_of_War:_Flame_Skewer
Savage Lion's Claw,Heavy,0.0,"From the Three-Path Cross site of grace, stick to the wall on the left side, and follow the path north. You will eventually come across a small camp where you can find the Ash of War. See Shadow of the Erdtree Map",https://eldenring.wiki.fextralife.com/Ash_of_War:_Savage_Lion%27s_Claw
Divine Beast Frost Stomp,Cold,0.0,Obtained by trading Remembrance of the Dancing Lion with Enia at Roundtable Hold .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Divine_Beast_Frost_Stomp
Flame Spear,Flame Art,0.0,"Shadow Keep , Sixth Floor: Climb the statues once you've used the lever to move them. Head outside, turn right and head up the stairs, turn left to find a Fire Knight at the end of the bridge. Drops this item and Winged Serpent Helm . See Shadow of the Erdtree Map",https://eldenring.wiki.fextralife.com/Ash_of_War:_Flame_Spear
Carian Sovereignty,Magic,0.0,Acquired from a teardrop scarab inside a cave southwest from Cathedral of Manus Metyr filled with glintslab fireflies. The scarab is located on the ceiling of the cave. See Shadow of the Erdtree Map,https://eldenring.wiki.fextralife.com/Ash_of_War:_Carian_Sovereignty
Shriek of Sorrow,Occult,0.0,"Can be found in the main Plaza where Fire Knight Queelign invades you, behind the great tree located in the middle. See Shadow of the Erdtree Map",https://eldenring.wiki.fextralife.com/Ash_of_War:_Shriek_of_Sorrow
Ghostflame Call,Cold,0.0,Dropped by the Death Rite Bird . See Shadow of the Erdtree Map,https://eldenring.wiki.fextralife.com/Ash_of_War:_Ghostflame_Call
The Poison Flower Blooms Twice,Poison,0.0,"Dropped by a Teardrop Scarab. From where you found the shadowpothead, move north a bit and turn left, you will see it on the other side of the river. Kill it to obtain a new ash of war. Ash of War The Poison Flower Blooms Twice . See Shadow of the Erdtree Map",https://eldenring.wiki.fextralife.com/Ash_of_War:_The_Poison_Flower_Blooms_Twice
